OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
90,90,2/6/2019 5:00:00 AM,200,2019,2/6/2019 5:00:00 AM,200,2019,Night,Wednesday,3,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,13,West,Ward 4 - Kanata North,Cathy Curry,5050160.11,,350175.6181,5023443.01099946
91,91,2/12/2019 5:00:00 AM,900,2019,12/30/2018 5:00:00 AM,100,2018,Night,Sunday,7,Greenbelt - Shirleys Bay,14,West,Ward 7 - Bay,Theresa Kavanagh,5050141.14,,356001.651000001,5023937.50899946
92,92,2/20/2019 5:00:00 AM,200,2019,2/20/2019 5:00:00 AM,200,2019,Night,Wednesday,3,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.04,MINOR,371326.435100005,5029883.36039946
93,93,3/16/2019 5:00:00 AM,1200,2019,3/16/2019 5:00:00 AM,1200,2019,Afternoon,Saturday,6,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,,380775.747900008,5035166.57009946
94,94,3/29/2019 5:00:00 AM,,2019,3/29/2019 5:00:00 AM,,2019,,Friday,5,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.08,,381556.751000009,5035446.56899946
95,95,4/1/2019 5:00:00 AM,200,2019,4/1/2019 5:00:00 AM,2200,2019,Evening,Monday,1,Civic Hospital-Central Park,21,Central,Ward 16 - River,Riley Brockington,5050020.01,NONE,366324.008300002,5025654.05229946
96,96,4/13/2019 5:00:00 AM,200,2019,4/13/2019 5:00:00 AM,2200,2019,Evening,Saturday,6,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,MINOR,371501.727900005,5026253.53009946
97,97,4/18/2019 5:00:00 AM,200,2019,4/18/2019 5:00:00 AM,200,2019,Night,Thursday,4,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,FATAL,367866.786200002,5032275.26129946
98,98,4/25/2019 5:00:00 AM,100,2019,4/25/2019 5:00:00 AM,100,2019,Night,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050005.00,MINOR,370428.055200004,5026497.03499946
99,99,4/29/2019 5:00:00 AM,1400,2019,4/26/2019 5:00:00 AM,1700,2019,Afternoon,Friday,5,Hintonburg - Mechanicsville,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050043.00,,366197.244600001,5029566.34079946
100,100,5/3/2019 5:00:00 AM,100,2019,5/3/2019 5:00:00 AM,100,2019,Night,Friday,5,Civic Hospital-Central Park,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050034.00,MINOR,365657.700000002,5028517.55209946
101,101,5/15/2019 5:00:00 AM,200,2019,5/15/2019 5:00:00 AM,2100,2019,Evening,Wednesday,3,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,MAJOR,371200.957000004,5032202.81999946
102,102,5/23/2019 5:00:00 AM,500,2019,5/23/2019 5:00:00 AM,500,2019,Night,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.00,,367617.249600002,5030672.87149946
103,103,5/24/2019 5:00:00 AM,0,2019,5/23/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,,375271.744900006,5026437.52709946
104,104,5/27/2019 5:00:00 AM,200,2019,5/27/2019 5:00:00 AM,2200,2019,Evening,Monday,1,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,FATAL,371501.727900005,5026253.53009946
105,105,5/30/2019 5:00:00 AM,200,2019,5/30/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,MAJOR,368601.704900002,5032846.58899946
106,106,5/30/2019 5:00:00 AM,300,2019,5/30/2019 5:00:00 AM,200,2019,Night,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.00,,367322.709600003,5030793.18769946
107,107,6/2/2019 5:00:00 AM,700,2019,6/2/2019 5:00:00 AM,700,2019,Morning,Sunday,7,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050039.00,,367354.706000003,5029855.56299946
108,108,6/7/2019 5:00:00 AM,200,2019,6/7/2019 5:00:00 AM,2100,2019,Evening,Friday,5,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,FATAL,367930.704100003,5032342.58489946
109,109,6/10/2019 5:00:00 AM,1800,2019,6/10/2019 5:00:00 AM,1800,2019,Evening,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,,371453.729900004,5023632.51099946
110,110,6/15/2019 5:00:00 AM,1800,2019,6/15/2019 5:00:00 AM,1800,2019,Evening,Saturday,6,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,MAJOR,372370.732900005,5025399.52299946
111,111,6/19/2019 5:00:00 AM,200,2019,6/19/2019 5:00:00 AM,2000,2019,Evening,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050007.02,,371146.070100004,5026979.40929946
112,112,6/22/2019 5:00:00 AM,,2019,6/22/2019 5:00:00 AM,,2019,,Saturday,6,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050038.00,,367524.7793,5031199.22719946
113,113,6/22/2019 5:00:00 AM,1600,2019,6/22/2019 5:00:00 AM,1600,2019,Afternoon,Saturday,6,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MAJOR,359555.489000001,5024438.92409946
114,114,7/1/2019 5:00:00 AM,300,2019,7/1/2019 5:00:00 AM,300,2019,Night,Monday,1,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,NONE,368157.704100003,5032315.58489946
115,115,7/2/2019 5:00:00 AM,200,2019,7/2/2019 5:00:00 AM,2100,2019,Evening,Tuesday,2,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,MAJOR,371129.715900003,5032044.57699946
116,116,7/6/2019 5:00:00 AM,600,2019,7/6/2019 5:00:00 AM,400,2019,Night,Saturday,6,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,,368516.704100003,5032987.59099946
117,117,7/10/2019 5:00:00 AM,600,2019,7/10/2019 5:00:00 AM,500,2019,Night,Wednesday,3,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,NONE,360220.707700002,5023371.53939946
118,118,7/13/2019 5:00:00 AM,200,2019,7/13/2019 5:00:00 AM,2000,2019,Evening,Saturday,6,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MINOR,373961.142800005,5025806.58159946
119,119,7/19/2019 5:00:00 AM,1900,2019,7/19/2019 5:00:00 AM,1800,2019,Evening,Friday,5,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.00,MAJOR,367322.709600003,5030793.18769946
120,120,7/26/2019 5:00:00 AM,200,2019,7/26/2019 5:00:00 AM,100,2019,Night,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,NONE,368601.704900002,5032846.58899946
121,121,8/2/2019 5:00:00 AM,900,2019,8/2/2019 5:00:00 AM,900,2019,Morning,Friday,5,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050037.01,NONE,367963.872100002,5031179.26469946
122,122,8/3/2019 5:00:00 AM,200,2019,8/3/2019 5:00:00 AM,2200,2019,Evening,Saturday,6,Glebe - Dows Lake,22,Central,Ward 17 - Capital,Shawn Menard,5050019.00,,368113.691200003,5029324.85729946
123,123,8/8/2019 5:00:00 AM,0,2019,8/8/2019 5:00:00 AM,0,2019,Night,Thursday,4,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MINOR,359555.489000001,5024438.92409946
124,124,8/24/2019 5:00:00 AM,400,2019,8/24/2019 5:00:00 AM,400,2019,Night,Saturday,6,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,MAJOR,359210.669,5024119.51209946
125,125,8/25/2019 5:00:00 AM,1300,2019,8/24/2019 5:00:00 AM,1800,2019,Evening,Saturday,6,Osgoode,36,East,Ward 20 - Osgoode,George Darouze,5050191.02,,378113.738100005,5003640.35589946
126,126,8/30/2019 5:00:00 AM,100,2019,8/30/2019 5:00:00 AM,100,2019,Night,Friday,5,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,NONE,370744.715100003,5031929.57699946
127,127,8/31/2019 5:00:00 AM,0,2019,8/31/2019 5:00:00 AM,0,2019,Night,Saturday,6,Ottawa East,22,Central,Ward 17 - Capital,Shawn Menard,5050015.00,,369670.712900003,5030959.57009946
128,128,9/2/2019 5:00:00 AM,1400,2019,9/2/2019 5:00:00 AM,1400,2019,Afternoon,Monday,1,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,,372093.718900004,5032472.57889946
129,129,9/7/2019 5:00:00 AM,600,2019,9/7/2019 5:00:00 AM,400,2019,Night,Saturday,6,New Barrhaven - New Development - Stonebridge,16,West,Ward 24 - Barrhaven East,Wilson Lo,5050141.13,MAJOR,366527.124400002,5014369.76209946
130,130,9/14/2019 5:00:00 AM,300,2019,9/14/2019 5:00:00 AM,300,2019,Night,Saturday,6,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,,373684.738100005,5025945.52599946
131,131,9/23/2019 5:00:00 AM,0,2019,9/23/2019 5:00:00 AM,0,2019,Night,Monday,1,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,NONE,373498.732100004,5029149.54899946
132,132,9/29/2019 5:00:00 AM,200,2019,9/29/2019 5:00:00 AM,2000,2019,Evening,Sunday,7,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,31,East,Ward 1 - Orléans East-Cumberland,Matthew Luloff,5050170.10,MINOR,383281.750100009,5038255.58189946
133,133,10/4/2019 5:00:00 AM,300,2019,10/4/2019 5:00:00 AM,300,2019,Night,Friday,5,Orléans Chapel Hill,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.07,,380755.744100007,5036275.57889946
134,134,10/5/2019 5:00:00 AM,200,2019,10/5/2019 5:00:00 AM,2300,2019,Evening,Saturday,6,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,,358889.807900002,5023215.22489946
135,135,10/6/2019 5:00:00 AM,200,2019,10/6/2019 5:00:00 AM,200,2019,Night,Sunday,7,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050133.00,NONE,363227.690100002,5023253.50599946
136,136,10/8/2019 5:00:00 AM,1800,2019,10/8/2019 5:00:00 AM,1800,2019,Evening,Tuesday,2,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MAJOR,375045.401100003,5026242.21399946
137,137,10/12/2019 5:00:00 AM,1200,2019,10/12/2019 5:00:00 AM,1200,2019,Afternoon,Saturday,6,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.10,UNKNOWN,370828.031800002,5025379.67699946
138,138,10/15/2019 5:00:00 AM,100,2019,10/15/2019 5:00:00 AM,100,2019,Night,Tuesday,2,Orléans North West,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050124.04,,380027.467900007,5037650.84239946
139,139,10/20/2019 5:00:00 AM,500,2019,10/20/2019 5:00:00 AM,500,2019,Night,Sunday,7,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050131.02,MINOR,366010.7041,5024369.51589946
140,140,10/20/2019 5:00:00 AM,600,2019,10/20/2019 5:00:00 AM,600,2019,Morning,Sunday,7,Sandy Hill - Ottawa East,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050050.00,,368750.707900003,5031694.57809946
141,141,10/20/2019 5:00:00 AM,0,2019,10/20/2019 5:00:00 AM,0,2019,Night,Sunday,7,Westboro,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050045.02,NONE,362836.687900001,5028741.55399946
142,142,10/21/2019 5:00:00 AM,200,2019,10/21/2019 5:00:00 AM,300,2019,Night,Monday,1,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050104.00,,370140.709000003,5033529.59289946
143,143,10/26/2019 5:00:00 AM,500,2019,10/26/2019 5:00:00 AM,500,2019,Night,Saturday,6,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,31,East,Ward 19 - Orléans South-Navan,Catherine Kitts,5050171.15,NONE,384607.594000009,5035260.01699946
144,144,11/11/2019 5:00:00 AM,1100,2019,11/11/2019 5:00:00 AM,1100,2019,Morning,Monday,1,Iris,15,West,Ward 8 - College,Laine Johnson,5050026.00,NONE,360694.017000001,5022917.16989946
145,145,11/15/2019 5:00:00 AM,0,2019,11/13/2019 5:00:00 AM,400,2019,Night,Wednesday,3,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050134.00,,364468.592899999,5023509.07399946
146,146,11/20/2019 5:00:00 AM,800,2019,11/20/2019 5:00:00 AM,600,2019,Morning,Wednesday,3,Cityview - Skyline - Fisher Heights,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050132.00,MAJOR,364739.096500002,5024009.30959946
147,147,11/27/2019 5:00:00 AM,1600,2019,11/27/2019 5:00:00 AM,1600,2019,Afternoon,Wednesday,3,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,FATAL,373980.122300005,5025767.74129946
148,148,12/7/2019 5:00:00 AM,1900,2019,12/7/2019 5:00:00 AM,1900,2019,Evening,Saturday,6,Carleton Heights - Rideauview,17,West,Ward 16 - River,Riley Brockington,5050020.01,,367215.159300003,5025588.92829946
149,149,12/27/2019 5:00:00 AM,700,2019,12/27/2019 5:00:00 AM,400,2019,Night,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,,368601.704900002,5032846.58899946
150,150,12/28/2019 5:00:00 AM,500,2019,12/28/2019 5:00:00 AM,500,2019,Night,Saturday,6,Carleton Heights - Rideauview,17,West,Ward 16 - River,Riley Brockington,5050020.01,,367215.159300003,5025588.92829946
151,151,12/31/2019 5:00:00 AM,200,2019,12/31/2019 5:00:00 AM,2000,2019,Evening,Tuesday,2,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050038.00,,367808.704900001,5031085.57399946
152,152,1/1/2020 5:00:00 AM,800,2020,1/1/2020 5:00:00 AM,400,2020,Night,Wednesday,3,Chapman Mills - Rideau Crest - Davidson Heights,16,West,Ward 24 - Barrhaven East,Wilson Lo,5050141.13,,366688.738900002,5014176.78709946
153,153,1/2/2020 5:00:00 AM,0,2020,1/1/2020 5:00:00 AM,2200,2020,Evening,Wednesday,3,West Centertown,22,Central,Ward 14 - Somerset,Ariel Troster,5050041.00,MAJOR,366968.187100002,5030475.11809946
154,154,1/8/2020 5:00:00 AM,700,2020,1/8/2020 5:00:00 AM,700,2020,Morning,Wednesday,3,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.00,FATAL,367617.249600002,5030672.87149946
155,155,2/8/2020 5:00:00 AM,200,2020,2/8/2020 5:00:00 AM,2100,2020,Evening,Saturday,6,Bells Corners West,15,West,Ward 8 - College,Laine Johnson,5050136.02,MAJOR,357232.651,5019489.46899946
156,156,3/15/2020 5:00:00 AM,1300,2020,3/15/2020 5:00:00 AM,1300,2020,Afternoon,Sunday,7,Bells Corners West,15,West,Ward 8 - College,Laine Johnson,5050136.02,MINOR,356395.647100001,5020053.47399946
157,157,3/25/2020 5:00:00 AM,1500,2020,3/25/2020 5:00:00 AM,1100,2020,Morning,Wednesday,3,Carleton Heights - Rideauview,17,West,Ward 16 - River,Riley Brockington,5050020.01,,366849.824100003,5025638.29099946
158,158,3/26/2020 5:00:00 AM,200,2020,3/26/2020 5:00:00 AM,2100,2020,Evening,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050039.00,,367252.704900003,5029796.56299946
159,159,4/1/2020 5:00:00 AM,1400,2020,4/1/2020 5:00:00 AM,1400,2020,Afternoon,Wednesday,3,Ottawa South,22,Central,Ward 17 - Capital,Shawn Menard,5050020.01,NONE,367769.968000003,5027975.90119946
160,160,4/15/2020 5:00:00 AM,200,2020,4/15/2020 5:00:00 AM,2300,2020,Evening,Wednesday,3,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,,359142.416500002,5023738.96119946
161,161,5/1/2020 5:00:00 AM,200,2020,5/1/2020 5:00:00 AM,2200,2020,Evening,Friday,5,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.01,MAJOR,372564.721100003,5032241.57589946
162,162,5/9/2020 5:00:00 AM,0,2020,5/9/2020 5:00:00 AM,0,2020,Night,Saturday,6,Munster,12,West,Ward 21 - Rideau-Jock,David Brown,5050151.09,NONE,345500.529000002,5007091.39999946
163,163,5/9/2020 5:00:00 AM,200,2020,5/9/2020 5:00:00 AM,2000,2020,Evening,Saturday,6,Bells Corners East,15,West,Ward 8 - College,Laine Johnson,5050136.01,NONE,357493.015100002,5019750.19889946
164,164,5/17/2020 5:00:00 AM,200,2020,5/17/2020 5:00:00 AM,2000,2020,Evening,Sunday,7,Bells Corners West,15,West,Ward 8 - College,Laine Johnson,5050136.02,,356736.6479,5019813.47209946
165,165,6/1/2020 5:00:00 AM,1800,2020,6/1/2020 5:00:00 AM,1800,2020,Evening,Monday,1,Iris,15,West,Ward 8 - College,Laine Johnson,5050026.00,NONE,361633.192900003,5023935.51399946
166,166,6/1/2020 5:00:00 AM,1700,2020,6/1/2020 5:00:00 AM,1700,2020,Afternoon,Monday,1,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,MINOR,370900.715100003,5032336.57999946
167,167,6/1/2020 5:00:00 AM,1300,2020,6/1/2020 5:00:00 AM,500,2020,Night,Monday,1,Qualicum - Redwood Park,15,West,Ward 8 - College,Laine Johnson,5050027.00,NONE,360386.674000001,5022901.50109946
168,168,6/1/2020 5:00:00 AM,600,2020,6/1/2020 5:00:00 AM,600,2020,Morning,Monday,1,Iris,15,West,Ward 8 - College,Laine Johnson,5050026.00,NONE,361936.784100002,5023506.30709946
169,169,6/6/2020 5:00:00 AM,1400,2020,6/5/2020 5:00:00 AM,2300,2020,Evening,Friday,5,Qualicum - Redwood Park,15,West,Ward 8 - College,Laine Johnson,5050027.00,,360215.674000002,5023136.50299946
170,170,6/10/2020 5:00:00 AM,800,2020,6/9/2020 5:00:00 AM,2000,2020,Evening,Tuesday,2,Cummings,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050061.00,,372336.718100002,5033017.58299946
171,171,6/19/2020 5:00:00 AM,100,2020,6/19/2020 5:00:00 AM,100,2020,Night,Friday,5,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,368042.704100002,5032503.58709946
172,172,6/29/2020 5:00:00 AM,200,2020,6/29/2020 5:00:00 AM,2100,2020,Evening,Monday,1,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,NONE,360220.707700002,5023371.53939946
173,173,6/29/2020 5:00:00 AM,200,2020,6/29/2020 5:00:00 AM,2000,2020,Evening,Monday,1,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MINOR,359349.669900001,5024210.51209946
174,174,7/13/2020 5:00:00 AM,200,2020,7/13/2020 5:00:00 AM,2100,2020,Evening,Monday,1,Munster,12,West,Ward 21 - Rideau-Jock,David Brown,5050151.09,,352538.551000001,4998582.30789946
175,175,7/14/2020 5:00:00 AM,900,2020,7/13/2020 5:00:00 AM,1700,2020,Afternoon,Monday,1,Hunt Club South Industrial,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,,366863.180000003,5022828.03209946
176,176,7/23/2020 5:00:00 AM,200,2020,7/23/2020 5:00:00 AM,2300,2020,Evening,Thursday,4,Glen Cairn - Kanata South Business Park,13,West,Ward 23 - Kanata South,Allan Hubley,5050162.03,NONE,353446.620000001,5016935.44709946
177,177,7/25/2020 5:00:00 AM,200,2020,7/25/2020 5:00:00 AM,2300,2020,Evening,Saturday,6,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,NONE,359555.489000001,5024438.92409946
178,178,7/27/2020 5:00:00 AM,0,2020,7/27/2020 5:00:00 AM,0,2020,Night,Monday,1,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,NONE,359068.741600002,5023874.64459946
179,179,7/27/2020 5:00:00 AM,1700,2020,7/27/2020 5:00:00 AM,1600,2020,Afternoon,Monday,1,Carson Grove - Carson Meadows,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050062.01,FATAL,372741.361600004,5034102.57509946
180,180,7/27/2020 5:00:00 AM,0,2020,7/27/2020 5:00:00 AM,0,2020,Night,Monday,1,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050021.00,NONE,365209.698900002,5026651.53589946
181,181,7/28/2020 5:00:00 AM,400,2020,7/28/2020 5:00:00 AM,400,2020,Night,Tuesday,2,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,NONE,360127.621000002,5024325.28249946
182,182,7/29/2020 5:00:00 AM,200,2020,7/29/2020 5:00:00 AM,2000,2020,Evening,Wednesday,3,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050151.08,NONE,354700.149000002,5015652.36999946
